OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,repeatID
5953,33036,FS-1473690,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,209.0,043,EG8V,CORRIDOR,,,,,,2008,8/18/2008,231,1507.0,Human,Missing data/not specified/undetermined,,8/18/2008,231.0,1800.0,0.5,B,40.76916667,-123.30194444,USFS,CA,105,6105.0,Trinity County,280
6049,33543,FS-1474313,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,86.0,833,DZ9D,BULLARDS,,,,,,2008,8/6/2008,219,240.0,Natural,Natural,,8/9/2008,222.0,915.0,10.0,C,39.44666667,-121.14861111,USFS,CA,115,6115.0,Yuba County,342
6051,33546,FS-1474316,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,87.0,835,DZ9D,GARDEN,,,,,,2008,8/6/2008,219,400.0,Natural,Natural,,8/9/2008,222.0,915.0,12.0,C,39.44666667,-121.14861111,USFS,CA,115,6115.0,Yuba County,342
7077,37880,FS-1479674,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,132.0,80,EK1S,JUNIPER 2,,,,,,2009,8/21/2009,233,1535.0,Natural,Natural,,8/21/2009,233.0,1700.0,0.1,A,34.43166667,-117.95666667,USFS,CA,37,6037.0,Los Angeles County,312
7347,39240,FS-1481277,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,133.0,81,EK1S,PLEASANT,,,,,,2009,8/21/2009,233,1625.0,Natural,Natural,,8/21/2009,233.0,1830.0,0.3,B,34.43166667,-117.95666667,USFS,CA,37,6037.0,Los Angeles County,312
8140,139170,FS-365182,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,85.0,,,SHEEP,,,,,,2001,7/14/2001,195,1930.0,Natural,Natural,,7/15/2001,196.0,1800.0,0.1,A,41.435,-120.32083333,USFS,CA,,,,178
8443,141332,FS-367533,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,41.0,,,DOUBLEHEAD,,,,,,2001,7/10/2001,191,1335.0,Natural,Natural,,7/10/2001,191.0,2100.0,24.0,C,41.7675,-121.16972222,USFS,CA,,,,112
8452,141341,FS-367542,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,57.0,,,DOUBLEHEAD 2,,,,,,2001,7/10/2001,191,915.0,Natural,Natural,,7/10/2001,191.0,1100.0,0.1,A,41.7675,-121.16972222,USFS,CA,,,,112
8983,142531,FS-368787,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,84.0,,,FERN,,,,,,2001,7/14/2001,195,1900.0,Natural,Natural,,7/15/2001,196.0,1800.0,11.0,C,41.435,-120.32083333,USFS,CA,,,,178
8990,142538,FS-368794,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,132.0,,,FOURMILE,,,,,,2001,8/9/2001,221,1039.0,Natural,Natural,,8/16/2001,228.0,1800.0,75.0,C,41.96027778,-120.88638889,USFS,CA,,,,266
8992,142540,FS-368796,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,134.0,,,STATE,,,,,,2001,8/9/2001,221,1103.0,Natural,Natural,,8/16/2001,228.0,1800.0,1.0,B,41.96027778,-120.88638889,USFS,CA,,,,266
9079,142873,FS-369234,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,191.0,,,BRIDGE,,,,,,2001,9/15/2001,258,1304.0,Natural,Natural,,9/15/2001,258.0,1929.0,1.0,B,41.40611111,-120.9575,USFS,CA,,,,434
9094,142888,FS-369249,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,207.0,,,VALLEY,,,,,,2001,9/17/2001,260,1544.0,Natural,Natural,,9/17/2001,260.0,1747.0,1.0,B,41.98916667,-121.09888889,USFS,CA,,,,165
9096,142890,FS-369251,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,209.0,,,SECOND,,,,,,2001,9/17/2001,260,1934.0,Natural,Natural,,9/17/2001,260.0,2000.0,0.1,A,41.98916667,-121.09888889,USFS,CA,,,,165
9104,142898,FS-369259,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,217.0,,,DEL PRATT2,,,,,,2001,9/25/2001,268,830.0,Natural,Natural,,9/25/2001,268.0,1700.0,0.1,A,41.8875,-120.30722222,USFS,CA,,,,409
9105,142899,FS-369260,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,218.0,,,DEL PRATT,,,,,,2001,9/25/2001,268,830.0,Natural,Natural,,9/25/2001,268.0,1700.0,0.2,A,41.8875,-120.30722222,USFS,CA,,,,409
9114,142922,FS-369285,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,193.0,,,PIT,,,,,,2001,9/15/2001,258,1421.0,Natural,Natural,,9/15/2001,258.0,1800.0,0.1,A,41.40611111,-120.9575,USFS,CA,,,,434
9340,143757,FS-370222,FED,FS-FIRESTAT,FS,USCATMU,Lake Tahoe Basin Management Unit,0519,Lake Tahoe Basin Management Unit,23.0,,8582,EMERALD 2,,,,,,2001,6/23/2001,174,1801.0,Human,Misuse of fire by a minor,Minor,6/23/2001,174.0,1803.0,1.0,B,38.95111111,-120.08444444,USFS,CA,61,6061.0,Placer County,433
9929,149824,FS-376781,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,0510,Six Rivers National Forest,28.0,,7200,HARDSCRABBLE 1,,,,,,2002,7/14/2002,195,1300.0,Natural,Natural,,7/16/2002,197.0,2000.0,0.5,B,41.85111111,-124.02277778,USFS,CA,,,,371
9930,149825,FS-376782,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,0510,Six Rivers National Forest,29.0,,7200,HARDSCRABBLE 2,,,,,,2002,7/14/2002,195,1300.0,Natural,Natural,,7/16/2002,197.0,2000.0,0.1,A,41.85111111,-124.02277778,USFS,CA,,,,371
10583,153481,FS-380605,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,0512,San Bernardino National Forest,3.0,,,MERCURY,,,,,,2002,1/25/2002,25,1613.0,Human,Other causes,,1/25/2002,25.0,1630.0,0.2,A,34.24305556,-117.30305556,STATE OR PRIVATE,CA,,,,292
10584,153482,FS-380606,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,0512,San Bernardino National Forest,4.0,,,VENUS,,,,,,2002,1/25/2002,25,1200.0,Human,Other causes,,1/25/2002,25.0,1317.0,0.1,A,34.24305556,-117.30305556,STATE OR PRIVATE,CA,,,,292
10737,153792,FS-380950,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,124.0,,6100,BOAT 2,,,,,,2002,9/3/2002,246,358.0,Human,Arson/incendiarism,,9/3/2002,246.0,405.0,0.1,A,40.73555556,-122.20166667,USFS,CA,,,,623
10741,153822,FS-380982,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,123.0,,6100,BOAT 1,,,,,,2002,9/3/2002,246,345.0,Human,Arson/incendiarism,,9/3/2002,246.0,500.0,1.0,B,40.73555556,-122.20166667,USFS,CA,,,,623
12529,164641,FS-392695,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,78.0,,5555,ADAMS,,,,,,2003,7/30/2003,211,1530.0,Natural,Natural,,7/31/2003,212.0,1400.0,0.2,A,41.13416667,-122.71916667,USFS,CA,,,,530
12531,164643,FS-392697,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,80.0,,5555,NORTH,,,,,,2003,7/30/2003,211,1530.0,Natural,Natural,,7/31/2003,212.0,700.0,0.1,A,41.13416667,-122.71916667,USFS,CA,,,,530
14026,171065,FS-399691,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,86.0,,,643,,,,,,2004,8/20/2004,233,1700.0,Natural,Natural,,8/20/2004,233.0,2040.0,0.1,A,41.75305556,-121.43972222,USFS,CA,,,,490
14132,171388,FS-400036,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,0509,Modoc National Forest,90.0,,,JUNIPER,,,,,,2004,8/20/2004,233,1621.0,Natural,Natural,,8/20/2004,233.0,1920.0,0.2,A,41.75305556,-121.43972222,USFS,CA,,,,490
14498,287131,W-462887,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,4.0,,,BALDHILL 1,,,,,,2001,2/6/2001,37,1300.0,Human,Arson/incendiarism,,2/6/2001,37.0,1430.0,10.0,C,41.0499,-123.6845,BIA,CA,,,,146
14499,287132,W-462888,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,5.0,,,SUPPLY #1,,,,,,2001,2/6/2001,37,1600.0,Human,Arson/incendiarism,,2/6/2001,37.0,1700.0,0.1,A,41.0499,-123.6845,BIA,CA,,,,146
14536,287169,W-462940,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,57.0,,,TSEWENALDN,,,,,,2001,7/4/2001,185,2131.0,Human,Arson/incendiarism,,7/4/2001,185.0,2155.0,0.5,B,41.0665,-123.6845,BIA,CA,,,,40
14538,287171,W-462942,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,59.0,,,BIGHILL #3,,,,,,2001,7/4/2001,185,2230.0,Human,Arson/incendiarism,,7/4/2001,185.0,2320.0,1.0,B,41.0665,-123.6845,BIA,CA,,,,40
14540,287173,W-462944,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,61.0,,,RODEO #2,,,,,,2001,7/4/2001,185,2332.0,Human,Arson/incendiarism,,7/4/2001,185.0,2350.0,1.0,B,41.0665,-123.6845,BIA,CA,,,,40
14541,287174,W-462945,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,62.0,,,TRINITY 1,,,,,,2001,7/4/2001,185,2342.0,Human,Arson/incendiarism,,7/4/2001,185.0,2355.0,0.1,A,41.0665,-123.6845,BIA,CA,,,,40
14553,287186,W-462958,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,75.0,,,S-SHOEMAKE,,,,,,2001,7/8/2001,189,242.0,Human,Arson/incendiarism,,7/8/2001,189.0,408.0,1.0,B,41.0165,-123.6512,BIA,CA,,,,174
14555,287188,W-462959,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,76.0,,,TELESCOPE,,,,,,2001,7/8/2001,189,306.0,Human,Arson/incendiarism,,7/8/2001,189.0,328.0,0.1,A,41.0165,-123.6512,BIA,CA,,,,174
14564,287197,W-462977,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,94.0,,,TRINITY 3,,,,,,2001,7/14/2001,195,514.0,Human,Arson/incendiarism,,7/14/2001,195.0,900.0,0.1,A,41.0999,-123.7012,BIA,CA,,,,111
14565,287198,W-462978,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,95.0,,,MP.15.60,,,,,,2001,7/14/2001,195,1450.0,Human,Arson/incendiarism,,7/14/2001,195.0,2200.0,5.0,B,41.0999,-123.7012,BIA,CA,,,,111
14573,287206,W-462991,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,108.0,,,7-TRIBES,,,,,,2001,7/21/2001,202,320.0,Human,Arson/incendiarism,,7/21/2001,202.0,430.0,0.3,B,41.0332,-123.6512,BIA,CA,,,,184
14576,287209,W-462994,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,111.0,,,PINE CR #5,,,,,,2001,7/21/2001,202,1830.0,Human,Arson/incendiarism,,7/21/2001,202.0,2000.0,0.2,A,41.0832,-123.7012,BIA,CA,,,,149
14578,287211,W-462996,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,113.0,,,TISH-TANG1,,,,,,2001,7/21/2001,202,2104.0,Human,Arson/incendiarism,,7/21/2001,202.0,2122.0,0.1,A,41.0332,-123.6512,BIA,CA,,,,184
14579,287212,W-462997,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,114.0,,,BEAVER #3,,,,,,2001,7/21/2001,202,2240.0,Human,Arson/incendiarism,,7/21/2001,202.0,2327.0,0.5,B,41.0832,-123.7012,BIA,CA,,,,149
14592,287225,W-463015,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,132.0,,,HUNBUNCH#2,,,,,,2001,8/1/2001,213,146.0,Human,Arson/incendiarism,,8/1/2001,213.0,238.0,0.2,A,41.0332,-123.6512,BIA,CA,,,,171
14593,287226,W-463014,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,131.0,,,7TRIBES3,,,,,,2001,8/1/2001,213,146.0,Human,Arson/incendiarism,,8/1/2001,213.0,227.0,0.1,A,41.0332,-123.6512,BIA,CA,,,,171
14607,287240,W-463032,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,149.0,,,SUPPLY#4,,,,,,2001,8/10/2001,222,2137.0,Human,Arson/incendiarism,,8/10/2001,222.0,2222.0,2.0,B,41.0499,-123.6678,BIA,CA,,,,100
14608,287241,W-463033,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,150.0,,,SUPPLY#5,,,,,,2001,8/10/2001,222,2137.0,Human,Arson/incendiarism,,8/10/2001,222.0,2222.0,0.1,A,41.0499,-123.6678,BIA,CA,,,,100
14609,287242,W-463034,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,151.0,,,SHOEMKR#6,,,,,,2001,8/10/2001,222,2158.0,Human,Arson/incendiarism,,8/10/2001,222.0,2235.0,0.1,A,41.0499,-123.6678,BIA,CA,,,,100
14623,287256,W-463056,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,173.0,,,LONGROCK2,,,,,,2001,8/23/2001,235,317.0,Human,Arson/incendiarism,,8/23/2001,235.0,600.0,3.0,B,41.0832,-123.7512,BIA,CA,,,,504
14624,287257,W-463057,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,174.0,,,MCCOVEY#2,,,,,,2001,8/23/2001,235,1447.0,Human,Arson/incendiarism,,8/23/2001,235.0,1830.0,1.0,B,41.0832,-123.7512,BIA,CA,,,,504
14635,287268,W-463075,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,192.0,,,RIVERRD#9,,,,,,2001,9/1/2001,244,18.0,Human,Arson/incendiarism,,9/1/2001,244.0,38.0,0.1,A,41.0665,-123.6845,BIA,CA,,,,216
14636,287269,W-463076,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,193.0,,,MARSHALL#4,,,,,,2001,9/1/2001,244,18.0,Human,Arson/incendiarism,,9/1/2001,244.0,47.0,0.2,A,41.0665,-123.6845,BIA,CA,,,,216
14656,287289,W-463102,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,219.0,,,MILEPOST13,,,,,,2001,9/17/2001,260,137.0,Human,Arson/incendiarism,,9/17/2001,260.0,227.0,0.1,A,41.0665,-123.6845,BIA,CA,,,,218
14657,287290,W-463103,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,220.0,,,MARSHALL#7,,,,,,2001,9/17/2001,260,137.0,Human,Arson/incendiarism,,9/17/2001,260.0,215.0,0.2,A,41.0665,-123.6845,BIA,CA,,,,218
14658,287291,W-463106,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,223.0,,,MILLCK#14,,,,,,2001,9/19/2001,262,548.0,Human,Arson/incendiarism,,9/19/2001,262.0,900.0,2.0,B,41.0832,-123.6845,BIA,CA,,,,219
14660,287293,W-463111,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,228.0,,,MILLCK#15,,,,,,2001,9/19/2001,262,2207.0,Human,Arson/incendiarism,,9/19/2001,262.0,2330.0,0.5,B,41.0832,-123.6845,BIA,CA,,,,219
14676,287309,W-463138,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,255.0,,,DEERHORN,,,,,,2001,10/14/2001,287,143.0,Human,Arson/incendiarism,,10/14/2001,287.0,700.0,1.2,B,41.1832,-123.6845,BIA,CA,,,,245
14680,287313,W-463142,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,259.0,,,DEERHORN 2,,,,,,2001,10/14/2001,287,1829.0,Human,Arson/incendiarism,,10/14/2001,287.0,1915.0,0.1,A,41.1832,-123.6845,BIA,CA,,,,245
14745,287378,W-463223,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,58.0,,,RIVERRD5,,,,,,2002,6/18/2002,169,2018.0,Human,Arson/incendiarism,,6/18/2002,169.0,2133.0,2.0,B,41.0665,-123.6845,PRIVATE,CA,,,,110
14746,287379,W-463224,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,59.0,,,LEGION2,,,,,,2002,6/18/2002,169,2303.0,Human,Arson/incendiarism,,6/18/2002,169.0,2358.0,0.5,B,41.0665,-123.6845,BIA,CA,,,,110
14757,287390,W-463235,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,70.0,,,VOL ASST3,,,,,,2002,6/21/2002,172,2247.0,Human,Arson/incendiarism,,6/22/2002,173.0,103.0,1.0,B,41.0665,-123.6845,PRIVATE,CA,,,,104
14758,287391,W-463236,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,71.0,,,RIVERRD7,,,,,,2002,6/21/2002,172,2325.0,Human,Arson/incendiarism,,6/22/2002,173.0,53.0,2.5,B,41.0665,-123.6845,BIA,CA,,,,104
14776,287409,W-463259,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,94.0,,,MP 20,,,,,,2002,7/1/2002,182,1708.0,Human,Arson/incendiarism,,7/2/2002,183.0,2200.0,2.0,B,41.1665,-123.6845,BIA,CA,,,,243
14777,287410,W-463260,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,95.0,,,MP21.7,,,,,,2002,7/1/2002,182,1708.0,Human,Arson/incendiarism,,7/2/2002,183.0,2000.0,39.0,C,41.1665,-123.6845,BIA,CA,,,,243
14808,287441,W-463300,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,135.0,,,RIVERRD10,,,,,,2002,7/8/2002,189,2126.0,Human,Arson/incendiarism,,7/8/2002,189.0,2318.0,1.0,B,41.0665,-123.6845,BIA,CA,,,,210
14809,287442,W-463301,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,136.0,,,LEGION4,,,,,,2002,7/8/2002,189,2256.0,Human,Arson/incendiarism,,7/8/2002,189.0,2328.0,0.5,B,41.0665,-123.6845,BIA,CA,,,,210
14821,287454,W-463318,FED,DOI-WFMI,BIA,USCAHIA,Hoopa Valley Tribe,CAHIA,Hoopa Valley Tribe,153.0,,,VOLASSIST4,,,,,,2002,7/15/2002,196,1957.0,Human,Arson/incendiarism,,7/15/2002,196.0,2126.0,0.2,A,41.0332,-123.6678,BIA,CA,,,,500
